brand,price,model,model_year,milage,fuel_type,transmission,engine,accident
Chevrolet,"$43,147",Silverado 1500 Custom Trail Boss,2021,"51,351 mi.",Gasoline,Automatic,5.3L V8 16V GDI OHV,None reported
MINI,"$29,000",Convertible John Cooper Works,2017,"24,280 mi.",Gasoline,6-Speed A/T,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Toyota,"$17,500",Avalon Touring,2016,"89,148 mi.",Gasoline,A/T,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
Porsche,"$30,990",Cayenne Platinum Edition,2017,"73,043 mi.",Gasoline,8-Speed A/T,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,None reported
Mercedes-Benz,"$52,500",AMG C 63 S,2017,"60,000 mi.",Gasoline,Transmission w/Dual Shift Mode,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Honda,"$20,848",CR-V EX-L,2016,"73,549 mi.",Gasoline,Automatic CVT,2.4L I4 16V GDI DOHC,At least 1 accident or damage reported
Hummer,"$19,500",H2 Base,2005,"110,900 mi.",Gasoline,A/T,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,None reported
Porsche,"$73,000",911 Carrera S,2013,"39,000 mi.",Gasoline,7-Speed A/T,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,None reported
Mercedes-Benz,"$19,800",CLA-Class CLA 250,2016,"120,000 mi.",Gasoline,Transmission w/Dual Shift Mode,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Chrysler,"$7,500",300 Touring,2009,"134,602 mi.",Gasoline,Transmission w/Dual Shift Mode,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
Nissan,"$30,999",Rogue SV,2023,"1,094 mi.",Gasoline,Automatic CVT,1.5L I3 12V GDI DOHC Turbo,None reported
Audi,"$6,500",A3 2.0T,2010,"83,500 mi.",Gasoline,Transmission w/Dual Shift Mode,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Ford,"$28,500",Mustang GT Premium,2014,"37,060 mi.",Gasoline,6-Speed M/T,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,None reported
Acura,"$10,995",RL Technology,2010,"97,700 mi.",Gasoline,Transmission w/Dual Shift Mode,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,None reported
Volvo,"$42,000",XC90 Hybrid T8 R-Design,2018,"40,000 mi.",Plug-In Hybrid,Transmission w/Dual Shift Mode,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,None reported
Audi,"$144,900",R8 5.2 V10,2018,"8,940 mi.",Gasoline,7-Speed Automatic with Auto-Shift,5.2L V10 40V PDI DOHC,None reported
Mercedes-Benz,"$10,000",GLK-Class GLK 350,2014,"186,000 mi.",Gasoline,A/T,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Toyota,"$23,998",C-HR LE,2021,"13,180 mi.",Gasoline,CVT-F,2.0 Liter,None reported
Lexus,"$21,000",IS 350 Base,2014,"104,000 mi.",Gasoline,8-Speed A/T,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
BMW,"$67,900",X4 M40i,2023,"8,500 mi.",Hybrid,Transmission w/Dual Shift Mode,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,None reported
BMW,"$69,998",M4 CS,2019,"19,069 mi.",Gasoline,Automatic,3.0 Liter DOHC Turbo,None reported
Cadillac,"$46,900",CT5 Premium Luxury,2023,"6,090 mi.",Gasoline,A/T,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Lucid,"$99,000",Air Grand Touring,2022,"4,900 mi.",,1-Speed A/T,536.0HP Electric Motor Electric Fuel System,None reported
Audi,"$31,000",A5 2.0T Premium Plus,2019,"47,523 mi.",Gasoline,Transmission w/Dual Shift Mode,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Chrysler,"$19,995",300C SRT8,2006,"43,000 mi.",Gasoline,5-Speed A/T,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Bentley,"$130,000",Continental GT W12,2017,"14,684 mi.",Gasoline,8-Speed A/T,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,None reported
BMW,"$55,999",M4 Base,2019,"57,800 mi.",Gasoline,Transmission w/Dual Shift Mode,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,None reported
Toyota,"$49,950",GR Corolla Circuit Edition,2023,952 mi.,Gasoline,6-Speed M/T,300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel,None reported
Audi,"$59,950",RS 5 2.9T,2019,"21,240 mi.",Gasoline,8-Speed A/T,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Porsche,"$42,499",Cayenne Base,2019,"59,338 mi.",Gasoline,Transmission w/Dual Shift Mode,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,None reported
Lamborghini,"$359,991",Huracan Tecnica Coupe,2023,255 mi.,Gasoline,Automatic,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro",None reported
Maserati,"$44,999",Quattroporte S,2019,"23,230 mi.",Gasoline,8-Speed A/T,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,None reported
Jaguar,"$30,000",XF 35t R-Sport,2017,"48,000 mi.",Gasoline,A/T,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Lexus,"$11,100",ES 330 Base,2005,"41,059 mi.",Gasoline,5-Speed A/T,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,None reported
Land,"$37,998",Rover Discovery Sport SE R-Dynamic,2020,"21,240 mi.",Gasoline,Automatic,2.0 Liter,None reported
Porsche,"$72,000",Cayman GTS,2015,"11,500 mi.",Gasoline,7-Speed A/T,340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,None reported
Genesis,"$53,950",G90 3.3T Premium,2021,"9,950 mi.",Gasoline,8-Speed A/T,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,None reported
Volkswagen,"$47,999",Golf R 20th Anniversary Edition,2023,633 mi.,Gasoline,6-Speed M/T,315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Hyundai,"$15,900",Sonata Hybrid Limited,2015,"66,000 mi.",Hybrid,A/T,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,At least 1 accident or damage reported
Audi,"$45,000",RS 7 4.0T Prestige,2014,"59,715 mi.",Gasoline,A/T,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
BMW,"$18,500",740 Li,2012,"85,252 mi.",Gasoline,6-Speed A/T,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,None reported
Mercedes-Benz,"$80,000",GLS 450 Base 4MATIC,2020,"17,900 mi.",Hybrid,9-Speed A/T,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,At least 1 accident or damage reported
BMW,"$55,000",M6 Base,2016,"25,500 mi.",Gasoline,7-Speed A/T,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,None reported
Subaru,"$2,300",Forester 2.5 X,2004,"210,703 mi.",Gasoline,M/T,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,
Hyundai,"$34,000",Elantra N Base,2023,"3,800 mi.",Gasoline,6-Speed M/T,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Kia,"$31,995",Niro Plug-In Hybrid EX Premium,2022,"36,602 mi.",Hybrid,6-Speed Automatic with Auto-Shift,1.6L I4 16V GDI DOHC Hybrid,None reported
Rivian,"$92,000",R1S Adventure Package,2023,"2,800 mi.",,1-Speed A/T,835.0HP Electric Motor Electric Fuel System,None reported
Aston,"$279,950",Martin DBS Superleggera,2021,"2,165 mi.",Gasoline,8-Speed Automatic,5.2L V12 48V GDI DOHC Twin Turbo,None reported
Mercedes-Benz,"$29,900",SLC 300 Base,2018,"33,000 mi.",Gasoline,9-Speed A/T,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
BMW,"$24,950",435 Gran Coupe i,2016,"76,009 mi.",Gasoline,8-Speed A/T,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,None reported
Jeep,"$39,366",Grand Cherokee Summit,2020,"31,349 mi.",Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,None reported
Lexus,"$32,900",RC 350 Base,2015,"48,000 mi.",Gasoline,Transmission w/Dual Shift Mode,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
BMW,"$8,900",525 i,2005,"91,420 mi.",Gasoline,6-Speed A/T,215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,None reported
Toyota,"$4,995",Corolla LE,2003,"124,756 mi.",Gasoline,M/T,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Cadillac,"$104,900",CT5-V Blackwing,2023,"2,415 mi.",Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV Supercharged,None reported
GMC,"$7,900",Acadia SLT-1,2012,"116,226 mi.",Gasoline,6-Speed A/T,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,None reported
Lexus,"$75,950",LC 500 Base,2020,"37,869 mi.",Gasoline,10-Speed Automatic,5.0L V8 32V PDI DOHC,None reported
BMW,"$86,000",i8 Base,2019,"41,500 mi.",Plug-In Hybrid,Transmission w/Dual Shift Mode,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,None reported
Lexus,"$17,995",ES 300h Base,2013,"87,001 mi.",Hybrid,CVT Transmission,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,None reported
Cadillac,"$55,655",CT5-V V-Series,2022,"4,451 mi.",Gasoline,Automatic,3.0L V6 24V GDI DOHC Twin Turbo,At least 1 accident or damage reported
BMW,"$39,998",540 i xDrive,2020,"27,158 mi.",Gasoline,Automatic,2.0 Liter Turbo,None reported
Chevrolet,"$14,500",Express 1500 Work Van,2014,"139,804 mi.",Gasoline,A/T,195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Jeep,"$47,500",Gladiator Rubicon,2022,"27,300 mi.",Gasoline,A/T,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,None reported
BMW,"$27,000",Z4 sDrive28i,2014,"36,812 mi.",Gasoline,Transmission w/Dual Shift Mode,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Land,"$18,000",Rover LR4 HSE LUX Landmark Edition,2016,"144,000 mi.",Gasoline,8-Speed A/T,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Cadillac,"$28,900",XT4 Sport,2019,"44,500 mi.",Gasoline,9-Speed A/T,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
BMW,"$73,998",750 750i xDrive,2021,"10,917 mi.",Gasoline,Automatic,4.4 Liter Twin Turbo,None reported
Bentley,"$47,350",Arnage R,2005,"8,332 mi.",Gasoline,4-Speed A/T,400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel,None reported
Lincoln,"$47,698",Aviator Reserve AWD,2020,"51,247 mi.",Gasoline,Automatic,3.0 Liter GTDI,None reported
Mercedes-Benz,"$36,500",AMG GL AMG GL 63 4MATIC,2016,"69,000 mi.",Gasoline,Transmission w/Dual Shift Mode,550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,None reported
RAM,"$32,662",ProMaster 3500 High Roof,2021,"147,834 mi.",Gasoline,6-Speed Automatic,3.6L V6 24V MPFI DOHC,None reported
Ford,"$6,600",Utility Police Interceptor Base,2013,"105,000 mi.",E85 Flex Fuel,A/T,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,At least 1 accident or damage reported
Audi,"$9,995",A5 2.0T Premium,2011,"92,203 mi.",Gasoline,Transmission w/Dual Shift Mode,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Nissan,"$69,500",GT-R Premium,2010,"15,600 mi.",Gasoline,Transmission w/Dual Shift Mode,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,None reported
Land,"$30,775",Rover Range Rover Sport 3.0L Supercharged HSE,2018,"104,700 mi.",Gasoline,Automatic,V6,At least 1 accident or damage reported
Toyota,"$9,995",Corolla LE,2010,"72,348 mi.",Gasoline,A/T,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Rivian,"$94,000",R1S Adventure Package,2023,"2,500 mi.",,A/T,835.0HP Electric Motor Electric Fuel System,None reported
Mercedes-Benz,"$44,798",C-Class C300 4MATIC,2022,"13,177 mi.",Gasoline,Automatic,2.0 Liter Turbo,None reported
Porsche,"$23,000",Cayenne E-Hybrid S,2016,"96,000 mi.",Plug-In Hybrid,Transmission w/Dual Shift Mode,416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas,At least 1 accident or damage reported
Chevrolet,"$22,495",Express 1500 Work Van,2011,"93,009 mi.",E85 Flex Fuel,4-Speed Automatic,5.3L V8 16V MPFI OHV Flexible Fuel,None reported
INFINITI,"$28,998",Q70h Base,2016,"52,750 mi.",Hybrid,7-Speed A/T,360.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,At least 1 accident or damage reported
Audi,"$49,998",A7 Premium Plus,2020,"25,361 mi.",Hybrid,Automatic,3.0 Liter Turbo,None reported
Audi,"$9,995",Q7 3.0T Premium Plus,2015,"98,527 mi.",Gasoline,8-Speed A/T,280.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,
Lucid,"$86,900",Air Pure,2023,"1,300 mi.",,A/T,620.0HP Electric Motor Electric Fuel System,
Chrysler,"$9,000",Pacifica Touring,2017,"87,305 mi.",–,9-Speed A/T,–,None reported
Audi,"$25,999",TTS 2.0T Premium Plus,2012,"72,922 mi.",Gasoline,6-Speed A/T,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,
BMW,"$30,000",650 Gran Coupe i xDrive,2015,"41,000 mi.",Gasoline,8-Speed A/T,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,None reported
Subaru,"$27,899",Forester Premium,2021,"42,125 mi.",Gasoline,Automatic CVT,2.5L H4 16V GDI DOHC,None reported
Mercedes-Benz,"$40,000",AMG C AMG C 63,2016,"62,000 mi.",Gasoline,Transmission w/Dual Shift Mode,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,None reported
Land,"$9,950",Rover LR3 HSE,2006,"153,843 mi.",Gasoline,6-Speed A/T,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
BMW,"$53,998",X7 xDrive40i,2019,"35,248 mi.",Gasoline,Automatic,3.0 Liter Twin Turbo,None reported
Ford,"$9,888",Transit Connect XLT,2015,"194,454 mi.",Gasoline,6-Speed A/T,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,None reported
Lexus,"$89,999",LX 570 Three-Row,2021,"21,000 mi.",Gasoline,Transmission w/Dual Shift Mode,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,None reported
Porsche,"$86,900",911 Carrera S,2013,"18,494 mi.",Gasoline,7-Speed M/T,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,
Dodge,"$12,990",Ram 2500 Laramie Quad Cab,2006,"218,000 mi.",Gasoline,4-Speed A/T,330.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,None reported
Nissan,"$36,500",Armada SL,2021,"67,800 mi.",Gasoline,7-Speed A/T,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Porsche,"$42,999",Cayman Base,2014,"79,000 mi.",Gasoline,Transmission w/Dual Shift Mode,275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Mercedes-Benz,"$63,998",GLE 450 GLE 450,2022,"24,906 mi.",Hybrid,Automatic,3.0 Liter Turbo,None reported
Chevrolet,"$12,000",Monte Carlo SS,2006,"66,840 mi.",Gasoline,A/T,303.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
BMW,"$32,000",M5 Base,2013,"86,000 mi.",Gasoline,Transmission w/Dual Shift Mode,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,None reported
Hyundai,"$34,599",Kona N Base,2023,654 mi.,Gasoline,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,None reported
Chevrolet,"$12,500",Monte Carlo SS,2005,"75,000 mi.",Gasoline,A/T,240.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,None reported
Land,"$22,800",Rover Range Rover Evoque Pure,2015,"84,000 mi.",Gasoline,9-Speed A/T,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Audi,"$39,999",S7 4.0T Premium Plus,2017,"52,500 mi.",Gasoline,Transmission w/Dual Shift Mode,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,None reported
GMC,"$7,500",Acadia SLT-1,2011,"120,000 mi.",Gasoline,6-Speed A/T,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,None reported
Alfa,"$35,645",Romeo Stelvio Ti Sport,2020,"18,665 mi.",Gasoline,8-Speed Automatic,2.0L I4 16V GDI SOHC Turbo,None reported
Ferrari,"$149,900",FF Base,2016,"19,987 mi.",Gasoline,7-Speed A/T,651.0HP 6.3L 12 Cylinder Engine Gasoline Fuel,None reported
Kia,"$23,950",K900 5.0L,2017,"36,486 mi.",Gasoline,8-Speed A/T,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Ford,"$12,500",E150 XLT,2013,"162,100 mi.",E85 Flex Fuel,4-Speed A/T,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,None reported
Tesla,"$47,000",Model 3 Performance,2022,"13,079 mi.",,A/T,455.0HP Electric Motor Electric Fuel System,None reported
Toyota,"$36,999",4Runner SR5,2022,"28,377 mi.",Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,None reported
Subaru,"$24,000",Forester Base,2020,"32,744 mi.",Gasoline,CVT Transmission,182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,None reported
Porsche,"$26,000",Panamera 2,2012,"54,000 mi.",Gasoline,A/T,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Toyota,"$8,500",Tacoma PreRunner,2008,"202,055 mi.",Gasoline,A/T,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
RAM,"$65,000",2500 Laramie,2019,"65,000 mi.",Diesel,6-Speed A/T,370.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,None reported
Kia,"$30,990",Sportage Nightfall,2022,"9,686 mi.",Gasoline,6-Speed Automatic,2.4L I4 16V GDI DOHC,None reported
Cadillac,"$10,499",DTS Base,2010,"49,620 mi.",Gasoline,A/T,275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,None reported
Toyota,"$26,500",Land Cruiser Base,1997,"213,000 mi.",Gasoline,4-Speed A/T,212.0HP 4.5L Straight 6 Cylinder Engine Gasoline Fuel,None reported
Nissan,"$114,000",GT-R Premium,2020,"16,010 mi.",Gasoline,A/T,565.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,None reported
Lexus,"$51,998",NX 350 F SPORT Handling,2023,820 mi.,Gasoline,8-SPEED AT,2.4 Liter,None reported
Audi,"$36,499",Q7 45 Premium Plus,2021,"68,000 mi.",Gasoline,8-Speed A/T,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Lexus,"$25,000",LX 470 Base,1999,"82,000 mi.",Gasoline,A/T,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,None reported
GMC,"$27,785",Terrain SLE,2022,"27,352 mi.",Gasoline,9-Speed Automatic,1.5L I4 16V GDI DOHC Turbo,None reported
Ford,"$7,000",Escape Limited,2012,"129,000 mi.",Gasoline,A/T,171.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Lexus,"$30,000",LS 460 L,2014,"106,731 mi.",Gasoline,8-Speed A/T,360.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Ford,"$45,500",Expedition Platinum,2019,"34,672 mi.",Gasoline,10-Speed A/T,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
